c_id,c_name,pid,r_id,c_cc_name,c_cc_number,c_cc_expiration_month,c_cc_expiration_year,c_cc_cvv,c_billing_street,c_billing_city,c_billing_state,c_billing_zip,c_username,c_password,c_customer_since,c_package_start,c_package_end,c_phone,c_email,c_street_address,c_city,c_state,c_zip,c_newsletter
1,Gabe Laban,2,3,Gabe Laban,6859495792240930,11,19,623,2084 Novick Parkway,Albany,NY,12242,glaban0,JNzTg2Pu,3/12/18 23:57,3/12/18 23:57,3/26/19,5185583188,glaban0@virginia.edu,2084 Novick Parkway,Albany,NY,12242,1
2,Whitney Dmytryk,8,3,Whitney Dmytryk,1466621685238020,4,26,685,7 Burning Wood Terrace,Schenectady,NY,12305,wdmytryk1,gtsGVS1,3/7/18 11:03,3/7/18 11:03,3/27/19,5182788063,wdmytryk1@g.co,7 Burning Wood Terrace,Schenectady,NY,12305,1
3,Delila Fidler,17,3,Delila Fidler,4000206709181740,7,25,968,10874 Spohn Crossing,Rochester,NY,14652,dfidler2,oy4kiaNY48,3/19/18 6:24,3/19/18 6:24,3/28/19,5851958787,dfidler2@fc2.com,10874 Spohn Crossing,Rochester,NY,14652,1
4,Shawn Gerdes,8,2,Shawn Gerdes,5514357893403820,3,23,396,84471 Surrey Parkway,Sacramento,CA,94273,sgerdes3,IVWEdCSiW,3/10/18 13:46,3/10/18 13:46,3/29/19,9162638396,sgerdes3@webs.com,84471 Surrey Parkway,Sacramento,CA,94273,1
5,Prinz Trevithick,3,1,Prinz Trevithick,9851708938410940,12,28,482,1 Center Hill,Worcester,MA,1610,ptrevithick4,HppsQbEdf,3/10/18 14:17,3/10/18 14:17,3/30/19,5089337390,ptrevithick4@bloglines.com,1 Center Hill,Worcester,MA,1610,0
6,Shawn Leaf,5,2,Shawn Leaf,2885167256835580,12,24,395,0783 Sycamore Alley,Bakersfield,CA,93399,sleaf5,93IMQqQmDcr,3/8/18 23:35,3/8/18 23:35,3/31/19,6618392762,sleaf5@google.com.hk,0783 Sycamore Alley,Bakersfield,CA,93399,1
7,Rosie Gribbell,3,2,Rosie Gribbell,1272321286448770,12,25,468,0 Golf Course Court,Sacramento,CA,94237,rgribbell6,wUwM4RCZQjkq,3/8/18 7:15,3/8/18 7:15,4/1/19,9167329756,rgribbell6@statcounter.com,0 Golf Course Court,Sacramento,CA,94237,1
8,Jany Biggin,17,3,Jany Biggin,1925851286684960,5,18,101,5292 Fremont Road,New York City,NY,10150,jbiggin7,klVeL8B,3/22/18 14:53,3/22/18 14:53,4/2/19,2124898000,jbiggin7@ca.gov,5292 Fremont Road,New York City,NY,10150,1
9,Wendie Dumphry,16,3,Wendie Dumphry,6703059250842810,4,28,666,5 Reinke Lane,Albany,NY,12255,wdumphry8,LKG3AY,3/8/18 20:02,3/8/18 20:02,4/3/19,5184693030,wdumphry8@slideshare.net,5 Reinke Lane,Albany,NY,12255,0
10,Roslyn Chmiel,19,2,Roslyn Chmiel,1304978293956530,8,22,719,90590 Victoria Circle,Torrance,CA,90510,rchmiel9,h8Wryd56i,3/7/18 17:51,3/7/18 17:51,4/4/19,8187786455,rchmiel9@1688.com,90590 Victoria Circle,Torrance,CA,90510,0
